"","SID","Season","NUMBER","BASIN","NAME","ISO_TIME","Time","WindKt","WindMS"
"1","1981283N07132",1981,92,"WP","FABIAN","1981-10-10 00:00:00",1981-10-10,15,7.7166705
"2","1981283N07132",1981,92,"WP","FABIAN","1981-10-10 03:00:00",1981-10-10,15,7.7166705
"3","1981283N07132",1981,92,"WP","FABIAN","1981-10-10 06:00:00",1981-10-10,15,7.7166705
"4","1981283N07132",1981,92,"WP","FABIAN","1981-10-10 09:00:00",1981-10-10,15,7.7166705
"5","1981283N07132",1981,92,"WP","FABIAN","1981-10-10 12:00:00",1981-10-10,15,7.7166705
"6","1981283N07132",1981,92,"WP","FABIAN","1981-10-10 15:00:00",1981-10-10,15,7.7166705
"7","1981283N07132",1981,92,"WP","FABIAN","1981-10-10 18:00:00",1981-10-10,15,7.7166705
"8","1981283N07132",1981,92,"WP","FABIAN","1981-10-10 21:00:00",1981-10-10,15,7.7166705
"9","1981283N07132",1981,92,"WP","FABIAN","1981-10-11 00:00:00",1981-10-11,15,7.7166705
"10","1981283N07132",1981,92,"WP","FABIAN","1981-10-11 03:00:00",1981-10-11,17,8.7455599
"11","1981283N07132",1981,92,"WP","FABIAN","1981-10-11 06:00:00",1981-10-11,20,10.288894
"12","1981283N07132",1981,92,"WP","FABIAN","1981-10-11 09:00:00",1981-10-11,20,10.288894
"13","1981283N07132",1981,92,"WP","FABIAN","1981-10-11 12:00:00",1981-10-11,20,10.288894
"14","1981283N07132",1981,92,"WP","FABIAN","1981-10-11 15:00:00",1981-10-11,20,10.288894
"15","1981283N07132",1981,92,"WP","FABIAN","1981-10-11 18:00:00",1981-10-11,20,10.288894
"16","1981283N07132",1981,92,"WP","FABIAN","1981-10-11 21:00:00",1981-10-11,20,10.288894
"17","1981283N07132",1981,92,"WP","FABIAN","1981-10-12 00:00:00",1981-10-12,20,10.288894
"18","1981283N07132",1981,92,"WP","FABIAN","1981-10-12 03:00:00",1981-10-12,20,10.288894
"19","1981283N07132",1981,92,"WP","FABIAN","1981-10-12 06:00:00",1981-10-12,20,10.288894
"20","1981283N07132",1981,92,"WP","FABIAN","1981-10-12 09:00:00",1981-10-12,22,11.3177834
"21","1981283N07132",1981,92,"WP","FABIAN","1981-10-12 12:00:00",1981-10-12,25,12.8611175
"22","1981283N07132",1981,92,"WP","FABIAN","1981-10-12 15:00:00",1981-10-12,25,12.8611175
"23","1981283N07132",1981,92,"WP","FABIAN","1981-10-12 18:00:00",1981-10-12,25,12.8611175
"24","1981283N07132",1981,92,"WP","FABIAN","1981-10-12 21:00:00",1981-10-12,27,13.8900069
"25","1981283N07132",1981,92,"WP","FABIAN","1981-10-13 00:00:00",1981-10-13,30,15.433341
"26","1981283N07132",1981,92,"WP","FABIAN","1981-10-13 03:00:00",1981-10-13,30,15.433341
"27","1981283N07132",1981,92,"WP","FABIAN","1981-10-13 06:00:00",1981-10-13,30,15.433341
"28","1981283N07132",1981,92,"WP","FABIAN","1981-10-13 09:00:00",1981-10-13,32,16.4622304
"29","1981283N07132",1981,92,"WP","FABIAN","1981-10-13 12:00:00",1981-10-13,35,18.0055645
"30","1981283N07132",1981,92,"WP","FABIAN","1981-10-13 15:00:00",1981-10-13,37,19.0344539
"31","1981283N07132",1981,92,"WP","FABIAN","1981-10-13 18:00:00",1981-10-13,40,20.577788
"32","1981283N07132",1981,92,"WP","FABIAN","1981-10-13 21:00:00",1981-10-13,42,21.6066774
"33","1981283N07132",1981,92,"WP","FABIAN","1981-10-14 00:00:00",1981-10-14,45,23.1500115
"34","1981283N07132",1981,92,"WP","FABIAN","1981-10-14 03:00:00",1981-10-14,40,20.577788
"35","1981283N07132",1981,92,"WP","FABIAN","1981-10-14 06:00:00",1981-10-14,35,18.0055645
"36","1981283N07132",1981,92,"WP","FABIAN","1981-10-14 09:00:00",1981-10-14,30,15.433341
"37","1981283N07132",1981,92,"WP","FABIAN","1981-10-14 12:00:00",1981-10-14,25,12.8611175
"38","1981283N07132",1981,92,"WP","FABIAN","1981-10-14 15:00:00",1981-10-14,NA,NA
"39","1981283N07132",1981,92,"WP","FABIAN","1981-10-14 18:00:00",1981-10-14,NA,NA
"40","1981283N07132",1981,92,"WP","FABIAN","1981-10-14 21:00:00",1981-10-14,NA,NA
"41","1981283N07132",1981,92,"WP","FABIAN","1981-10-15 00:00:00",1981-10-15,NA,NA
